año,orden de compra,fecha,importe,proveedor,dependencia,expediente
2010,257,28-01-2010,198463.15,PROVINCIA SEGUROS S.A.,REGISTRO PATRIMONIAL,Suministro 402/2010
2010,164,20-01-2010,5800.00,ASOCIACION ARGENTINA DE ACTORES,COORD. DE REC. ARTISTICOS,Suministro 154/2010
2010,162,20-01-2010,23850.00,ASOCIACION ARGENTINA DE ACTORES,COORD. DE REC. ARTISTICOS,Suministro 153/2010
2010,197,26-01-2010,6600.00,LOPEZ ROXANA ANALIA,VETERINARIA Y ZOONOSIS,Contrato 165/2010
2010,534,23-02-2010,2300.00,RUGGIERO HERNAN EDUARDO,DEP. VIALIDAD,Contrato 280/2010
2010,209,26-01-2010,9300.00,VALLE FERNANDO ALBERTO,DEP. VIALIDAD,Contrato 346/2010
2010,1661,12-05-2010,9000.00,LA BRUJULA SERVICIOS PERIODISTICOS,SEC. DE GOBIERNO,Suministro 1744/2010
2010,1711,14-05-2010,765.00,MERCERIA - TAPICERIA MIGUEL,JOVENES POR LOS JOVENES,Suministro 1829/2010
2010,1998,31-05-2010,17500.00,VIALGAR S.A.,DEP. DE LOGISTICA Y MANT. URBANO,Suministro 1925/2010
2010,1670,13-05-2010,23211.86,PINTURERIA FERNANDEZ,DELEG. NORTE,Suministro 2038/2010
2010,1746,17-05-2010,4000.00,VENEGAS ROMINA NOEMI,INSTITUTO CULTURAL MUNICIPAL,Suministro 1676/2010
2010,1799,18-05-2010,3999.00,SAVEANU NICOLAS VICTOR,INSTITUTO CULTURAL MUNICIPAL,Contrato 1588/2010
2010,1755,17-05-2010,3300.00,CAPUTO JUAN MANUEL,INSTITUTO CULTURAL MUNICIPAL,Suministro 1474/2010
2010,1810,19-05-2010,1650.00,ASOCIACION ARGENTINA DE ACTORES,INSTITUTO CULTURAL MUNICIPAL,Suministro 1708/2010
2010,1803,18-05-2010,1200.00,ASOCIACION ARGENTINA DE ACTORES,INSTITUTO CULTURAL MUNICIPAL,Contrato 1585/2010
2010,1723,14-05-2010,13500.00,CAMBI INGENIERIA,COMUNICACIONES,Suministro 1515/2010
2010,594,25-02-2010,11400.00,COOPERATIVA DE TRABAJO LA PRIMERA DE INGENIERO WHITE,SEC. DE INFRAESTRUCTURA,Suministro 439/2010
2010,595,25-02-2010,11400.00,COOPERATIVA DE TRABAJADORES UNIDOS LIMITADA,SEC. DE INFRAESTRUCTURA,Suministro 438/2010
2010,1089,05-04-2010,160.00,CASA MATAMOROS,DEP. TALLERES Y MAESTRANZA,Suministro 659/2010
2010,1088,05-04-2010,149.00,TODO CHAPA,DEP. TALLERES Y MAESTRANZA,Suministro 659/2010
2010,1086,05-04-2010,152.00,REPUESTOS TATO,DEP. TALLERES Y MAESTRANZA,Suministro 659/2010
2010,1085,05-04-2010,160.00,EL MECANO,DEP. TALLERES Y MAESTRANZA,Suministro 659/2010
2010,1104,05-04-2010,168.04,CHEVROBAHIA,DEP. TALLERES Y MAESTRANZA,Suministro 657/2010
2010,1101,05-04-2010,210.00,REPUESTOS TATO,DEP. TALLERES Y MAESTRANZA,Suministro 657/2010
2010,501,19-02-2010,15200.00,COOPERATIVA DE TRABAJO CUATREROS LIMITADA,SEC. DE INFRAESTRUCTURA,Suministro 644/2010
2010,482,17-02-2010,6300.00,URBAN JULIANA ANAHI,NO USAR-DIR. GRAL DE MOVILIDAD URBANA,Contrato 318/2010
2010,488,18-02-2010,1715.00,CRITERIOS,DEP. CONTADURIA,Suministro 739/2010
2010,481,17-02-2010,1900.00,IMPRESIONES CAMPANELLA,SEC. DE GOBIERNO,Suministro 789/2010
2010,1404,27-04-2010,41776.65,PENTA S.A.,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Resolución 242/2010
2010,512,19-02-2010,1942.05,MH CARTELES,SEC. DE INFRAESTRUCTURA,Suministro 704/2010
2010,582,24-02-2010,6848.58,OVERALL S.A.,DELEG. CABILDO,Suministro 64/2010
2010,538,23-02-2010,10000.00,REPUESTOS TATO,DEP. TALLERES Y MAESTRANZA,Suministro 753/2010
2010,540,23-02-2010,10000.00,ONDAR REPUESTOS,DEP. TALLERES Y MAESTRANZA,Suministro 754/2010
2010,574,23-02-2010,10000.00,F. Y N. ZANONI,DEP. TALLERES Y MAESTRANZA,Suministro 767/2010
2010,1184,13-04-2010,181972.00,MINISTERIO DE SEGURIDAD - SEGURIDAD PROVINCIAL,SUBSEC. SEGURIDAD Y PROTECCION CIUDADANA,Resolución 2583/2010
2010,1574,05-05-2010,3000.00,LOS CUÑADOS,NO USAR - J. RAYITO DE SOL,Suministro 833/2010
2010,885,22-03-2010,6417.00,CHIARAVALLI MARIA FLORENCIA,NO USAR - DIR. DE FORTALECIMIENTO HUMANO,Suministro 1068/2010
2010,883,22-03-2010,7828.50,VILLATORO MARIA LAURA,SERV. LOC. PROM Y PROT.I.DER. NIÑOS Y ADOLES.,Contrato 990/2010
2010,1075,05-04-2010,7828.50,CARLAVAN ALEJANDRO MARTIN,SERV. LOC. PROM Y PROT.I.DER. NIÑOS Y ADOLES.,Contrato 987/2010
2010,927,23-03-2010,16000.00,COLEGIO DE PSICOLOGOS DE LA PROVINCIA DE BUENOS AIRES DISTRITO I BAHIA,"SUBSECR. DE NINEZ, ADOLESC. Y FAMILIA",Suministro 1039/2010
2010,910,23-03-2010,24000.00,BACCI JUAN CARLOS,INSTITUTO CULTURAL MUNICIPAL,Suministro 851/2010
2010,1149,09-04-2010,5000.00,NRC SERVICIOS,INSTITUTO CULTURAL MUNICIPAL,Suministro 846/2010
2010,912,23-03-2010,1800.00,ASOCIACION ARGENTINA DE ACTORES,INSTITUTO CULTURAL MUNICIPAL,Suministro 670/2010
2010,903,23-03-2010,1400.00,ASOCIACION COOPERADORA DEL CENTRO MUNICIPAL DE ESTUDIOS FOLKLORICOS DE,INSTITUTO CULTURAL MUNICIPAL,Suministro 698/2010
2010,1633,10-05-2010,13032.30,PANIFICADORA NUEVO SOL,NO USAR - DIR. DE FORTALECIMIENTO HUMANO,Suministro 923/2010
2010,1208,16-04-2010,5700.00,GIL JOSE LUIS,NO USAR-DIR. UNID. EJECUTORA PROG. FEDERALES,Suministro 1315/2010
2010,1467,30-04-2010,3140.00,FERRETERIA INDUSTRIAL FIAS S.A.,DEP. DE LOGISTICA Y MANT. URBANO,Suministro 1228/2010
2010,1486,03-05-2010,600.00,MALIZIA GABRIEL OSVALDO,DIRECCION DE ESPACIOS PUBLICOS,Suministro 229/2010
2010,1253,19-04-2010,16700.00,COOPERATIVA DE TRABAJO NOROESTE LIMITADA,SEC. DE INFRAESTRUCTURA,Suministro 1180/2010
2010,1287,20-04-2010,8000.00,RADIO UNIVERSAL,SEC. DE GOBIERNO,Suministro 1498/2010
2010,1267,19-04-2010,1500.00,INFOSUR PETROSOL,PROYECTO APICULTURA,Suministro 933/2010
2010,1261,19-04-2010,2694.87,PROVINCIA SEGUROS S.A.,SUBSECRETARIA DE DEPORTES,Suministro 1370/2010
2010,1321,22-04-2010,1089.00,DINAMICA MELIPAL S.R.L.,DEP. TALLERES Y MAESTRANZA,Suministro 1028/2010
2010,1317,22-04-2010,465.00,COLOCADORA SUR,DEP. TALLERES Y MAESTRANZA,Suministro 1028/2010
2010,1340,22-04-2010,260.00,GRUPO BAHIA BLANCA,DEP. TALLERES Y MAESTRANZA,Suministro 1032/2010
2010,1333,22-04-2010,225.80,ALFA RODAMIENTOS,DEP. TALLERES Y MAESTRANZA,Suministro 1032/2010
2010,1315,21-04-2010,376.00,TODO CHAPA,DEP. TALLERES Y MAESTRANZA,Suministro 1026/2010
2010,1312,21-04-2010,135.00,GRUPO BAHIA BLANCA,DEP. TALLERES Y MAESTRANZA,Suministro 1026/2010
