año,orden de compra,fecha,importe,proveedor,dependencia,expediente,,,,,,
2022,25,11-01-2022,10961.35,PROMAR S.R. L,SUBSECRETARIA DE GESTION Y ECON DE LA SALUD,Suministro 78/2022
2022,30,11-01-2022,8350,PALMA CARTELES S.R.L.,SEC. DE SALUD,Suministro 129/2022
2022,44,14-01-2022,20900,PARABRISAS ZACCARA S.A.,DPTO. TALLERES Y MAESTRANZA,Suministro 59/2022
2022,53,14-01-2022,20393.98,HIDRAULICA BAHIA,SEC. DE SALUD,Suministro 155/2022
2022,65,14-01-2022,428000,IN & SE SA,DELEGACION GRAL. DANIEL CERRI,Suministro 53/2022
2022,77,14-01-2022,29028,CASA SILVIA S.A.,CASA DE ABRIGO II,Suministro 171/2022
2022,954,10-03-2022,1637800,MARINO MORRESI E HIJOS,SUBSECRETARIA DE MANTENIMIENTO,Suministro 151/2022
2022,101,19-01-2022,28797,HIPERTEHUELCHE,DIRECCION GRAL. DE ESPACIOS PUBLICOS,Suministro 181/2022
2022,103,19-01-2022,169000,MARTINEZ GAMBINO INDUSTRIAL S.R.L.,MERCADO MUNICIPAL,Suministro 180/2022
2022,120,20-01-2022,14300,ACQUAMANSA,SECRETARIA GENERAL,Suministro 183/2022
2022,124,20-01-2022,123900,RAS SOLUCIONES MECANICAS,DPTO. TALLERES Y MAESTRANZA,Suministro 258/2022
2022,404,10-02-2022,2039100,SEGURMAX S.A.,DIR. GRAL. DE MOVILIDAD URBANA,Suministro 218/2022
2022,139,20-01-2022,28000,CENICCOLA PABLO MARTIN,SUBSECRETARIA DE DEPORTES,Suministro 232/2022
2022,140,20-01-2022,126900,FEDERACION PATRONAL SEGUROS S.A.,SUBSECRETARIA DE DEPORTES,Suministro 234/2022
2022,150,21-01-2022,225060,BUÑES JUAN BAUTISTA,DPTO. TALLERES Y MAESTRANZA,Suministro 288/2022
2022,167,24-01-2022,23070,REPUESTOS TATO,DPTO. TALLERES Y MAESTRANZA,Suministro 123/2022
2022,172,24-01-2022,138000,ALVAREZ NEUMATICOS S.A.,DPTO. TALLERES Y MAESTRANZA,Suministro 314/2022
2022,174,24-01-2022,20872,BAHIA LIVE,SUBSECRETARIA DE GESTION Y ECON DE LA SALUD,Suministro 317/2022
2022,459,16-02-2022,311425,DROGUERIA GAVAZZA,SUBSECRETARIA DE GESTION Y ECON DE LA SALUD,Suministro 190/2022
2022,193,26-01-2022,201652.63,MOVIMAQ S.R.L.,SEC. DE SALUD,Suministro 340/2022
2022,203,26-01-2022,9599,HIPERTEHUELCHE,DEPARTAMENTO MANTENIMIENTO OBRAS CIVILES,Suministro 263/2022
2022,212,26-01-2022,12000,INTEGRAL ABC CERRAJERIA,DPTO. TALLERES Y MAESTRANZA,Suministro 330/2022
2022,213,26-01-2022,383250,FARMACIA BARCELONA SRL.,SEC. DE SALUD,Suministro 376/2022
2022,217,27-01-2022,71500,TRANSPORTE RAP DE LANGE DANTE RAUL,COORD. PROGRAMA ENVION,Suministro 202/2022
2022,220,27-01-2022,11500,FASE SERVICE,HOGAR DEL ADOLESCENTE,Suministro 253/2022
2022,230,27-01-2022,222000,MENDIONDO VANINA SOLEDAD,SEC. DE SALUD,Suministro 168/2022
2022,365,08-02-2022,71183.68,PINTURERIA FERNANDEZ,TEATRO MUNICIPAL,Suministro 424/2022
2022,455,15-02-2022,406488.2,AÑOS LUZ,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Suministro 370/2022
2022,238,28-01-2022,63150,LANGE SEBASTIAN ANDRES,DPTO. TALLERES Y MAESTRANZA,Suministro 410/2022
